zinc_id,smiles
ZINC000149277742,CO[C@H]([C@H](C)O)[C@H](OC)[C@H](O)C=O
ZINC000004403299,C[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO
ZINC000013435545,O=C1C[C@H](O)[C@H]([C@H](O)CO)O1
ZINC000256066192,OCCN1C[C@H](O)[C@@H](O)[C@H]1CO
ZINC000257519833,N[C@]1(CO)OC[C@H](CO)[C@H]1O
ZINC000005443821,N[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O
ZINC000001843030,NC(=O)N[C@@H]1NC(=O)NC1=O
ZINC000001847417,O=c1[nH]c(O)c(O)c(=O)[nH]1
ZINC000088265020,OC[C@H](O)[C@@H]1O[C@H](O)[C@H](O)[C@H]1O
ZINC000141160095,O=C(O)[C@H](O)[C@@H]1OC[C@@H](O)[C@@H]1O
ZINC000247855053,O[C@@H]1[C@@H](O)[C@H]2[C@@H](O)CCN2C[C@H]1O
ZINC000000901729,O=C[C@@H]1OC(=O)[C@H](O)[C@H](O)[C@H]1O
ZINC000012604995,CC(=O)N1CCN[C@@H](C(N)=O)C1
ZINC000255968198,CO[C@H]1[C@@H](O)[C@@H](CO)[C@@H](O)[C@H]1O
ZINC000000901447,O=C1C[C@@H](O)[C@H](CO)O1
ZINC000004521362,O[C@@H]1CO[C@H]2[C@H]1OC[C@H]2O
ZINC000032098738,COC(=O)[C@H](N)CC(N)=O
ZINC000014442113,COC(=O)NNC(N)=O
ZINC000014723681,O=C1C[C@@H](CO)OC[C@H]1O
ZINC000014593938,CO[C@H]1[C@@H](O)[C@H](O)CO[C@H]1O
ZINC000100822612,C[C@@]1(O)[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000200109645,C[C@H](O)[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO
ZINC000238495788,C[S@@](=O)CCNC(=O)[C@@H](O)CN
ZINC000001532166,CN1C(=O)NC(=O)C1=O
ZINC000002251996,O=C1N[C@@H]2NC(=O)N(CCO)[C@H]2N1
ZINC000038545492,NC1=N[C@@H]2N=CN=C2C(=O)N1
ZINC000014419530,N[C@@H](C(=O)O)[C@H](O)[C@@H](O)C(=O)O
ZINC000001532571,O=C(O)C(=O)C[C@@H](O)[C@@H](O)CO
ZINC000034115667,O=C1[C@@H](O)[C@@H]([C@@H](O)CO)O[C@H]1O
ZINC000086008843,NC(=O)[C@]1(O)C=C[C@@H](O)[C@H]1O
ZINC000238329692,CN1C(=O)C(NC(=N)N)=NC[C@@H]1CO
ZINC000257492636,CO[C@@H]1C[C@H](O)O[C@@H](CO)[C@H]1O
ZINC000306392045,CO[C@H](C=O)[C@@H]1OC[C@H](O)[C@@H]1O
ZINC000145971546,O=C1OC[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000100191740,C[C@H](CCNC(=N)N)[C@@H](N)C(=O)O
ZINC000001529237,C[C@H](NCCS(=O)(=O)O)C(=O)O
ZINC000222260266,O=C(CO)[C@@H](O)[C@@H](O)CCO
ZINC000000902219,O=C(CO)[C@@H](O)[C@@H](O)CO
ZINC000210357772,O=CN1CC[C@H](O)[C@@H]1C(=O)O
ZINC000043505237,CO[C@@H]1O[C@H](C)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000014649299,OC[C@H](O)C[C@@H](O)CO
ZINC000257418501,C[C@@H]1C[C@H](O)[C@H](O)[C@@H](O)C1=O
ZINC000049614121,N[C@H](C(=O)O)[C@H](CC(=O)O)C(=O)O
ZINC000197972294,O[C@@H]1[C@H](O)C[C@@]2(O)CC[C@H]1N2
ZINC000001532852,N[C@@H](CCOP(=O)(O)O)C(=O)O
ZINC000000901232,O=C(CO)[C@H](O)CO
ZINC000013347950,NC[C@]1(O)OC[C@H](O)[C@@H](O)[C@@H]1O
ZINC000095919188,O[C@@H]1[C@@H](O)[C@H](O)[C@@]23CC[C@@H]2N[C@H]13
ZINC000018044615,O=c1[nH]c(=O)[nH]c(=O)[nH]1
ZINC000104874733,O=C1O[C@@H]2[C@H](O)CO[C@]2(O)C1(O)O
ZINC000001532167,CNC(=O)NC(=O)C(=O)O
ZINC000003650867,C[C@]1(O)C[C@]2(CO1)OC[C@H](O)[C@H]2O
ZINC000014723974,O=C(O)[C@@H]1NN=CC[C@H]1O
ZINC000306579215,OC[C@@]12OC[C@H](O)[C@@H](O1)[C@H](O)[C@H]2O
ZINC000100625336,O=C(O)C1=C[C@@H](O)[C@@H](O)C(=O)C1
ZINC000013327653,C[C@H](O)[C@@]1(O)C=CC(=O)[C@@H]1O
ZINC000166148215,CO[C@H]([C@H](C)O)[C@H](O)[C@H](O)C=O
ZINC000255989998,C[C@H](O)[C@H](O)[C@@H](O)[C@H](O)C(=O)CO
ZINC000306313031,O=C(O)[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O
ZINC000003860468,N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
ZINC000013538225,C[C@H](NC(=O)[C@H](N)[C@H](C)O)C(=O)O
ZINC000118888724,O=C(O)CN1C[C@H](O)[C@H](O)[C@H]1CO
ZINC000039115124,NCCCC[C@H]1NC(=O)CNC1=O
ZINC000001575495,C[C@H](N)C(=O)N[C@H](C)C(=O)O
ZINC000248083654,CN[C@@H]1[C@H](O)[C@H](O)OC[C@]1(C)O
ZINC000013553993,O=C1C=C(CO)[C@H](O)[C@H]2O[C@@H]12
ZINC000100028960,O=C(O)[C@@H](O)C(=O)[C@H](O)[C@@H](O)CO
ZINC000085734908,CC[C@@H]1C[C@H](O)[C@H](O)[C@H](CO)N1
ZINC000013352702,C[C@@H](O)[C@@H](NC=O)C(=O)O
ZINC000014584229,CO[C@@H]1[C@@H](O)[C@H](CO)O[C@H]1O
ZINC000001760171,O=C[C@H](O)[C@@H](O)CO
ZINC000003861798,O=C1O[C@H](CO)[C@@H](O)[C@@H]1O
ZINC000261361996,OC[C@@H]1O[C@H](F)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000002504425,COC[C@H](O)CO
ZINC000137815004,C[C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO
ZINC000004096823,O=C(O)C(=O)CS(=O)(=O)O
ZINC000306684603,OC[C@@H]1N[C@H]([C@@H](O)CO)C[C@H]1O
ZINC000006019976,C[C@H](O)C#CC#CC#CC#CC(N)=O
ZINC000013514753,O=C(O)c1nc(=O)[nH]c(=O)[nH]1
ZINC000038545493,NC1=N[C@H]2N=CN=C2C(=O)N1
ZINC000253639163,O[C@@H]1[C@@H]2O[C@H]2[C@@H](O)[C@H](O)[C@@H]1O
ZINC000257380472,OCC1=C[C@H](O)[C@@H](O)[C@H]1O
ZINC000003830876,OC[C@H]1O[C@@](O)(CO)[C@@H](O)[C@@H]1O
ZINC000033685626,N[C@H](C=O)[C@H](O)[C@@H](O)CCO
ZINC000245204670,NC[C@@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000013351069,NC[C@@H](O)[C@H](O)C(=O)O
ZINC000013353472,C[C@H](C(=O)O)[C@H](O)[C@H](N)C(=O)O
ZINC000000901090,C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O
ZINC000013352802,N[C@@H](CCO)C(=O)NCCO
ZINC000038416505,O=C1CNC(=O)[C@@H](Cc2cnc[nH]2)N1
ZINC000001693258,NCC(O)CN
ZINC000005374243,O=C1N[C@@H](CO)C(=O)N2CCC[C@@H]12
ZINC000013352668,COC(=O)[C@H](O)[C@@H](N)C(=O)O
ZINC000014455330,OC[C@H]1NCC[C@H]1O
ZINC000238775207,C[C@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)CO
ZINC000307083502,O=C1[C@H](CO)CC[C@@H]1[C@H](O)CO
ZINC000005132045,OC[C@@H]1O[C@H]1C#CC#C[C@H]1O[C@H]1CO
ZINC000033902603,C[C@H](O)[C@H](O)C[C@@H](O)C=O
ZINC000032190461,NC(N)=NCC[C@H]1C[C@H](N)C(=O)O1
ZINC000196458935,C[C@@H](O)[C@@H](N)P(=O)(O)O
ZINC000197373675,C[C@]12OC[C@@H](O)[C@]1(O)O[B-](O)(O)O2
ZINC000014683702,Cn1cnc2[nH]c(=O)n(C)c2c1=O
ZINC000001532549,OC[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O
ZINC000105351997,O=C1C=C[C@H](O)[C@]2(CO)O[C@@H]12
ZINC000238399686,CO[C@H](CC(=O)O)[C@H](O)C(=O)O
ZINC000012503978,CO[C@@H]1[C@@H](O)[C@H](O)[C@H](C)O[C@H]1O
ZINC000001492251,OC[C@@H]1NC[C@H](O)[C@H]1O
ZINC000003137564,CC(=O)N[C@@H](CC(N)=O)C(=O)O
ZINC000142497718,N[C@@H](C=O)[C@@H](O)CO
ZINC000085594637,NC[C@H](O)[C@H]1NC(N)=N[C@@H]1C(=O)O
ZINC000001530146,O=C(O)C[C@@H](C(=O)O)C(=O)C(=O)O
ZINC000004028704,O=C(O)C[C@]1(C(=O)O)O[C@@H]1C(=O)O
ZINC000022055080,O[C@H]1C=C[C@@H](O)[C@H](O)[C@@H]1O
ZINC000166134198,COC[C@H](O)[C@@H](O)[C@@H](C=O)OC
ZINC000036475234,O[C@@H]1O[C@H]2CO[C@H]([C@@H]2O)[C@H]1O
ZINC000255968200,CO[C@H]1[C@@H](O)[C@H](CO)[C@@H](O)[C@H]1O
ZINC000257376786,C[C@]1(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
ZINC000013438104,NC[C@@H](O)C[C@@H](N)CC(=O)O
ZINC000014723862,CC1=NC[C@H](O)[C@H](C(=O)O)N1
ZINC000003394130,O=C(O)CN1C(=O)CNC1=O
ZINC000003869786,O=C(O)[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
ZINC000100053150,O[C@H]1[C@H](O)[C@H](O)[C@H]2CC[C@@]1(O)N2
ZINC000002039484,O=C(O)[C@](O)(CO)C[C@H](O)CO
ZINC000013435241,CO[C@H]([C@H](O)C=O)[C@@H](O)[C@H](C)O
ZINC000035024242,CN(C)C[C@@H](N)C(=O)O
ZINC000014723976,O=C(O)[C@@H]1NN=CC[C@@H]1O
ZINC000003861573,O[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O
ZINC000014723973,O=C(O)[C@H]1NN=CC[C@@H]1O
ZINC000013353839,COC(=O)C[C@H](O)[C@@H](N)C(=O)OC
ZINC000014419518,C[C@H]([C@@H](O)CO)[C@@H](N)C(=O)O
ZINC000100349871,O=C(O)[C@H](O)C(=O)[C@H](O)[C@@H](O)CO
ZINC000308102125,COC[C@H](O)[C@H](O)[C@H](O)[C@@H](O)C=O
ZINC000096911256,O[C@H]1[C@H](O)CN2CC[C@H](O)[C@@H]2[C@H]1O
ZINC000004095881,O=C(CO)COS(=O)(=O)O
ZINC000156387241,NC1=C(C(=O)O)C(=O)[C@@H]2O[C@H]2[C@@H]1O
ZINC000224441499,O=C(O)C(=O)CC[C@H](O)CO
ZINC000005131905,NC[C@@H](NC(=O)C(=O)O)C(=O)O
ZINC000014585673,COC(=O)[C@@H](O)CC(=O)O
ZINC000257461388,N[C@@]12CC[C@@H](N1)[C@H](O)[C@@H](O)[C@H]2O
ZINC000038599879,O=C[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O
ZINC000004298371,C[C@@H](O)[C@@H](NC(N)=O)C(=O)O
ZINC000100774997,O[C@@H]1CC[C@@H]2C[C@@H](O)[C@]1(O)N2
ZINC000307742373,C[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](CO)N1C
ZINC000015274319,N=C1NOCC[C@@H](C(=O)O)N1
ZINC000002020259,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
ZINC000013369274,O=C1[C@@H](P(=O)(O)O)C[C@@H](O)N1O
ZINC000013327904,O=C1OCC[C@@]1(O)CO
ZINC000013612564,OC[C@@H]1NC[C@H](O)[C@@H](O)[C@H]1O
ZINC000001677289,N[C@H](CCC[C@@H](N)C(=O)O)C(=O)O
ZINC000002560737,NC(=O)CC[C@@H](N)C(N)=O
ZINC000014656234,C[C@@H]1O[C@@H](O)CC[C@@]1(O)C(=O)CO
ZINC000013353096,CC#C[C@H](O)[C@@H](N)C(=O)O
ZINC000014948984,C[C@@H]1NC(=O)[C@@H]2C[C@@H](O)CN2C1=O
ZINC000034621696,OC[C@@H]1SC[C@@H](O)[C@H]1O
