;Zinc_ID;SMILES;MolecularFormula;MolWt;MolLogp;HAcceptors;HDonors;RotableBonds;RindCount;TPSA
0;ZINC000149277742;CO[C@H]([C@H](C)O)[C@H](OC)[C@H](O)C=O;C8H16O5;192.099773612;-1.0430000000000004;5;2;6;0;75.99000000000001
1;ZINC000004403299;C[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO;C7H16O6;196.094688232;-3.1969000000000007;6;6;5;0;121.38000000000001
2;ZINC000013435545;O=C1C[C@H](O)[C@H]([C@H](O)CO)O1;C6H10O5;162.05282342;-1.9840000000000002;5;3;2;1;86.99000000000001
3;ZINC000256066192;OCCN1C[C@H](O)[C@@H](O)[C@H]1CO;C7H15NO4;177.10010796;-2.622999999999999;5;4;3;1;84.16000000000001
4;ZINC000257519833;N[C@]1(CO)OC[C@H](CO)[C@H]1O;C6H13NO4;163.084457896;-2.3666999999999994;5;4;2;1;95.94000000000001
5;ZINC000005443821;N[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O;C6H13NO5;179.079372516;-3.2550000000000003;6;5;1;1;116.17000000000002
6;ZINC000001843030;NC(=O)N[C@@H]1NC(=O)NC1=O;C4H6N4O3;158.043990052;-2.1798;3;4;1;1;113.32
7;ZINC000001847417;O=c1[nH]c(O)c(O)c(=O)[nH]1;C4H4N2O4;144.017106608;-1.5256000000000003;4;4;0;1;106.18
8;ZINC000088265020;OC[C@H](O)[C@@H]1O[C@H](O)[C@H](O)[C@H]1O;C6H12O6;180.063388104;-3.2214000000000005;6;5;2;1;110.38000000000001
9;ZINC000141160095;O=C(O)[C@H](O)[C@@H]1OC[C@@H](O)[C@@H]1O;C6H10O6;178.04773803999998;-2.4474999999999993;5;4;2;1;107.22000000000001
10;ZINC000247855053;O[C@@H]1[C@@H](O)[C@H]2[C@@H](O)CCN2C[C@H]1O;C8H15NO4;189.10010796;-2.4820999999999986;5;4;0;2;84.16
11;ZINC000000901729;O=C[C@@H]1OC(=O)[C@H](O)[C@H](O)[C@H]1O;C6H8O6;176.032087976;-2.8066;6;3;1;1;104.06000000000002
12;ZINC000012604995;CC(=O)N1CCN[C@@H](C(N)=O)C1;C7H13N3O2;171.100776656;-1.7079999999999989;3;2;1;1;75.43
13;ZINC000255968198;CO[C@H]1[C@@H](O)[C@@H](CO)[C@@H](O)[C@H]1O;C7H14O5;178.084123548;-2.2937999999999996;5;4;2;1;90.15
14;ZINC000000901447;O=C1C[C@@H](O)[C@H](CO)O1;C5H8O4;132.042258736;-1.3449;4;2;1;1;66.76
15;ZINC000004521362;O[C@@H]1CO[C@H]2[C@H]1OC[C@H]2O;C6H10O4;146.0579088;-1.4942000000000004;4;2;0;2;58.92
16;ZINC000032098738;COC(=O)[C@H](N)CC(N)=O;C5H10N2O3;146.06914218;-1.6378999999999992;4;2;3;0;95.41
17;ZINC000014442113;COC(=O)NNC(N)=O;C3H7N3O3;133.048741084;-1.0743000000000003;3;3;0;0;93.44999999999999
18;ZINC000014723681;O=C1C[C@@H](CO)OC[C@H]1O;C6H10O4;146.0579088;-1.3024;4;2;1;1;66.76
19;ZINC000014593938;CO[C@H]1[C@@H](O)[C@H](O)CO[C@H]1O;C6H12O5;164.068473484;-1.9281999999999997;5;3;1;1;79.15
20;ZINC000100822612;C[C@@]1(O)[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O;C7H14O6;194.079038168;-3.444500000000001;6;6;0;1;121.38000000000001
21;ZINC000200109645;C[C@H](O)[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO;C7H16O6;196.094688232;-3.1969000000000007;6;6;5;0;121.38000000000001
22;ZINC000238495788;C[S@@](=O)CCNC(=O)[C@@H](O)CN;C6H14N2O3S;194.072513308;-2.1992999999999983;4;3;5;0;92.42
23;ZINC000001532166;CN1C(=O)NC(=O)C1=O;C4H4N2O3;128.022191988;-1.3054000000000001;3;1;0;1;66.48
24;ZINC000002251996;O=C1N[C@@H]2NC(=O)N(CCO)[C@H]2N1;C6H10N4O3;186.07529018;-2.0310999999999995;3;4;2;2;93.7
25;ZINC000038545492;NC1=N[C@@H]2N=CN=C2C(=O)N1;C5H5N5O;151.04940978;-1.7600999999999998;5;2;0;2;92.19999999999999
26;ZINC000014419530;N[C@@H](C(=O)O)[C@H](O)[C@@H](O)C(=O)O;C5H9NO6;179.042987008;-2.7952999999999997;5;5;4;0;141.08
27;ZINC000001532571;O=C(O)C(=O)C[C@@H](O)[C@@H](O)CO;C6H10O6;178.04773803999998;-2.2557000000000005;5;4;5;0;115.06
28;ZINC000034115667;O=C1[C@@H](O)[C@@H]([C@@H](O)CO)O[C@H]1O;C6H10O6;178.04773804;-3.0132;6;4;2;1;107.22000000000001
29;ZINC000086008843;NC(=O)[C@]1(O)C=C[C@@H](O)[C@H]1O;C6H9NO4;159.053157768;-2.5056;4;4;1;1;103.78000000000002
